地区,部门名称,用人司局,职位名称,招考人数,报考人数,过审人数,竞争比,访问人数
北京,监管局,北京银保监局,监管部门一级主任科员及以下,30,917,917,5302,2495
内蒙古,消防,内蒙古森林消防总队所属森林消防支队,内蒙古自治区森林消防总队所属支队管理指挥岗位,27,133,133,5199.93,912
北京,外交部,地区业务司,英语一,26,1183,1133,5000,1906
黑龙江,消防,黑龙江森林消防总队所属森林消防支队（含直升机支队）,黑龙江省森林消防总队所属支队管理指挥岗位,25,88,83,4332.32,721
北京,公安局,首都机场公安局,北京大兴国际机场公共区派出所一级警长及以下,24,39,34,4211,1487
内蒙古,消防,内蒙古消防救援总队所属消防救援支队,内蒙古自治区消防救援总队所属支队管理指挥岗位,19,81,71,4000.74,568
北京,外交部,财务司,预算和财务管理,18,711,709,39.39,1331
上海,海关,隶属海关,海关业务二级主办及以下,18,23,23,1.28,815
北京,中央对外联络部,综合业务局、地区局,一级主任科员及以下（综合调研）,17,951,836,49.18,1395
北京,外交部,地区业务司,英语二,16,591,539,33.69,765
北京,外交部,地区业务司,英语六,15,959,798,53.2,2386
新疆,监管局,新疆银保监局,监管部门一级主任科员及以下,15,163,147,9.8,0
新疆,监管局,新疆银保监局,监管部门一级主任科员及以下,15,523,450,30,0
江苏,监管局,中国证券监督管理委员会江苏监管局,辖区会计类岗位一级主任科员及以下,15,388,387,4177,0
辽宁,消防,辽宁消防救援总队所属消防救援支队,辽宁省消防救援总队所属支队管理指挥岗位,13,43,36,2.77,857
云南,消防,云南森林消防总队所属森林消防支队,云南省森林消防总队所属支队管理指挥岗位,13,68,65,5,707
广东,海关,隶属海关,海关业务一级行政执法员（一）,13,20,19,1.46,698
北京,中国银行保险监督管理委员会,经济金融岗,一级主任科员及以下,13,1467,1377,105.92,752
黑龙江,消防,黑龙江消防救援总队所属消防救援支队,黑龙江省消防救援总队所属支队管理指挥岗位,12,53,53,4.42,374
广东,海关,隶属海关,海关业务一级行政执法员（二）,12,18,17,1.42,315
上海,上海出入境边防检查总站,上海出入境边防检查总站,边检站警务技术一级主管及以下（八）,12,240,240,20,517
浙江,监管局,中国证券监督管理委员会浙江监管局,辖区会计类监管岗位一级主任科员及以下,12,354,244,20.33,0
