地区,部门名称,用人司局,职位名称,招考人数,报考人数,过审人数,竞争比,访问人数
青海,国家税务总局青海省税务局,国家税务总局曲麻莱县税务局,一级行政执法员（三）,1,6865,6002,6002.0,1210
广东,广东海事局,广州海事局,广州海事局一级行政执法员（二十九）,1,4954,4193,4193.0,1046
广东,国家统计局广东调查总队,国家统计局广东调查总队,国家统计局珠海调查队业务科室一级科员,1,3154,2746,2746.0,533
北京,中央办公厅,中共中央直属机关事务管理局,绿化管理工作一级主任科员及以下,1,2717,2716,2716.0,908
江苏,国家税务总局江苏省税务局,国家税务总局扬州高新技术产业开发区税务局,一级行政执法员,1,2860,2638,2638.0,552
北京,全国人大,机关采购中心,业务一处一级主任科员及以下,1,3500,2616,2616.0,999
广东,广东海事局,潮州海事局,潮州海事局一级行政执法员（二）,1,3372,2512,2512.0,1018
广东,国家统计局广东调查总队,国家统计局广东调查总队,国家统计局湛江调查队办公室一级科员,1,2378,2251,2251.0,450
广东,国家税务总局深圳市税务局,国家税务总局深圳市罗湖区税务局,一级行政执法员（三）,2,4222,4219,2109.5,726
甘肃,生态环境部西北核与辐射安全监督站,生态环境部西北核与辐射安全监督站,核与辐射安全监督岗位一级主任科员及以下,1,1976,1965,1965.0,650
